"A798127";"ineo+ 227";"ineo+ 227. Цифрова повнокольорова система формату A3. Швид. копіювання/друку до 22 стор./хв. Мережеве сканування та друк. Контролер друку Emperon™ з PCL 6, PostScript 3, PDF 1.4, підтримка XPS та OOXML. Станд. місткість паперу 1100 арк. (макс. з опц. 3600 арк.) Формати носіїв А6-А3/ banner (1200х297мм), 60–256 г/м2. Опц. сканування до 45 стор./хв. (DF-628, реверсний дуплекс). Масштаб. 25%-400%. В комплекті стандартно: CMYK фотобарабани та девелопери, 2 касети по 500 арк. (60-256 г/м², перша А5-А4, друга А5-А3), дуплексний друк (60-256 г/м² А5-А3), ручний боковий лоток 100 стор., пам'ять 2GB (опц.+2GB), HDD 250GB, Gigabit Ethernet. Термін служби до 600т стор. (до 5 років). Макс. навант./міс до 19т відб. Середнє навант./міс. до 10т відб.";600 000;9 712 500,00;1 942 500,00;11 655 000,00;3150,00
"A797127";"ineo+ 287";"ineo+ 287. Цифрова повнокольорова система формату A3. Швид. копіювання/друку до 28 стор./хв. Мережеве сканування та друк. Контролер друку Emperon™ з PCL 6, PostScript 3, PDF 1.4, підтримка XPS та OOXML. Станд. місткість паперу 1100 арк. (макс. з опц. 3600 арк.) Формати носіїв А6-А3/ banner (1200х297мм), 60–256 г/м2. Опц. сканування до 45 стор./хв. (DF-628, реверсний дуплекс). Масштаб. 25%-400%. В комплекті стандартно: CMYK фотобарабани та девелопери, 2 касети по 500 арк. (60-256 г/м², перша А5-А4, друга А5-А3), дуплексний друк (60-256 г/м² А5-А3), ручний боковий лоток 100 стор., пам'ять 2GB (опц.+2GB), HDD 250GB, Gigabit Ethernet. Термін служби до 800т стор. (до 5 років). Макс. навант./міс до 28т відб. Середнє навант./міс. до 13т відб.";800 000;10 868 750,00;2 173 750,00;13 042 500,00;3525,00
"A7R0127";"ineo+ 258";"ineo+ 258. Цифрова повнокольорова система формату A3/SRA3. Швид. копіювання/друку до 25 стор./хв. Мережеве сканування та друк. Контролер друку Emperon™ з PCL 6с, PostScript 3, PDF 1.7, XPS. Станд. місткість паперу 1150 арк. (макс. з опц. 6650 арк.) Формати носіїв А6-А3/SRA3 (320x450)/banner (1200х297мм), 52 – 300 г/м2. Опц. - сканування до 160 стор./хв. (за умови DF-704). Щільність носіїв 52-300 г/м². Масштабування 25-400%. В комплекті стандартно: 4 фотоциліндра та девелопера, 2 універс. касети по 500 арк.(52-256 г/м²), дуплексний друк (52-256 г/м²), ручний боковий лоток 150 арк., пам'ять 2GB, HDD 250GB, Gigabit Ethernet. Термін служби до 800т стор. (до 5 років). Макс. навант./міс до 80т відб. Середнє навант./міс. до 13т відб.";800 000;11 408 333,33;2 281 666,67;13 690 000,00;3700,00
"A7PY027";"ineo+ 308";"ineo +308. Цифрова повнокольорова система формату A3/SRA3. Швид. копіювання/друку до 30 стор./хв. Мережеве сканування та друк. Контролер друку Emperon™ з PCL 6с, PostScript 3, PDF 1.7, XPS. Станд. місткість паперу 1150 арк. (макс. з опц. 6650 арк.) Формати носіїв А6-А3/SRA3 (320x450)/banner (1200х297мм), 52 – 300 г/м2. Опц. - сканування до 160 стор./хв. (за умови DF-704). Щільність носіїв 52-300 г/м². Масштабування 25-400%. В комплекті стандартно: 4 фотоциліндра та девелопера, 2 універс. касети по 500 арк.(52-256 г/м²), дуплексний друк (52-256 г/м²), ручний боковий лоток 150 арк., пам'ять 2GB, HDD 250GB, Gigabit Ethernet. Термін служби до 1М стор. (до 5 років). Макс. навант./міс до 100т відб. Середнє навант./міс. до 16т відб.";1 000 000;12 025 000,00;2 405 000,00;14 430 000,00;3900,00
"A7PU127";"ineo+ 368";"ineo +368. Цифрова повнокольорова система формату A3/SRA3. Швид. копіювання/друку до 36 стор./хв. Мережеве сканування та друк. Контролер друку Emperon™ з PCL 6с, PostScript 3, PDF 1.7, XPS. Станд. місткість паперу 1150 арк. (макс. з опц. 6650 арк.) Формати носіїв А6-А3/SRA3 (320x450)/banner (1200х297мм), 52 – 300 г/м2. Опц. - сканування до 160 стор./хв. (за умови DF-704). Щільність носіїв 52-300 г/м². Масштабування 25-400%. В комплекті стандартно: 4 фотоциліндра та девелопера, 2 універс. касети по 500 арк.(52-256 г/м²), дуплексний друк (52-256 г/м²), ручний боковий лоток 150 арк., пам'ять 2GB, HDD 250GB, Gigabit Ethernet. Термін служби до 1,5М стор. (до 5 років). Макс. навант./міс до 125т відб. Середнє навант./міс. до 25т відб.";1 500 000;15 416 666,67;3 083 333,33;18 500 000,00;5000,00
"4827000323";"ineo +458";"ineo +458. Цифрова повнокольорова система. Формат від А6 до A3/SRA3/banner. Швидкість копіювання та друку до 45 стор./хв. колір та монохром. Новий дуплексний автоподавач оригіналів сканування (Dual Scan DF) місткістю до 300 арк., швидкістю сканування до 240 стор./хв. Контроллер Emperon PCL6c/ PostScript 3, PDF 1.7, XPS. Підтримка носіїв для друку щільністю 52-300 г/м².  Мережеве сканування та друк (PCL/PS3), Gigabit Ethernet. В комплекті: 4 фотоциліндри, 4 девелопера, 2 універс. касети на 500 арк.(52-256 г/м²), дуплексний друк (52-256 г/м²), ручний боковий лоток 150 арк., дуплексний автоподавач документів на 300 арк., пам'ять 4GB станд., HDD 250GB. Термін служби до 1,8М стор. (до 5 років). Макс. навант./міс до 150т відб. Середнє навант./міс. до 30т відб.";1 800 000;20 350 000,00;4 070 000,00;24 420 000,00;6600,00
"4827000324";"ineo +558";"ineo +558. Цифрова повнокольорова система. Формат від А6 до A3/SRA3/banner. Швидкість копіювання та друку до 55 стор./хв. колір та монохром. Новий дуплексний автоподавач оригіналів сканування (Dual Scan DF) місткістю до 300 арк., швидкістю сканування до 240 стор./хв. Контроллер Emperon PCL6c/ PostScript 3, PDF 1.7, XPS. Підтримка носіїв для друку щільністю 52-300 г/м².  Мережеве сканування та друк (PCL/PS3), Gigabit Ethernet. В комплекті: 4 фотоциліндри, 4 девелопера, 2 універс. касети на 500 арк.(52-256 г/м²), дуплексний друк (52-256 г/м²), ручний боковий лоток 150 арк., дуплексний автоподавач документів на 300 арк., пам'ять 4GB станд., HDD 250GB. Термін служби до 2М стор. (до 5 років). Макс. навант./міс до 200т відб. Середнє навант./міс. до 33т відб.";2 000 000;24 358 333,33;4 871 666,67;29 230 000,00;7900,00
"4827000325";"ineo +658";"ineo +658. Цифрова повнокольорова система. Формат від А6 до A3/SRA3/banner. Швидкість копіювання та друку до 65 стор./хв. колір та монохром. Новий дуплексний автоподавач оригіналів сканування (Dual Scan DF) місткістю до 300 арк., швидкістю сканування до 240 стор./хв. Система додаткової фільтрації повітря (CU). Контроллер Emperon PCL6c/ PostScript 3, PDF 1.7, XPS. Підтримка носіїв для друку щільністю 52-300 г/м².  Мережеве сканування та друк (PCL/PS3), Gigabit Ethernet. В комплекті: 4 фотоциліндри, 4 девелопера, 2 універс. касети на 500 арк.(52-256 г/м²), дуплексний друк (52-256 г/м²), ручний боковий лоток 150 арк., дуплексний автоподавач документів на 300 арк., пам'ять 4GB станд., HDD 250GB. Термін служби до 2М стор. (до 5 років). Макс. навант./міс до 200т відб. Середнє навант./міс. до 36т відб.";2 000 000;32 375 000,00;6 475 000,00;38 850 000,00;10500,00
"4827000337";"ineo+ 659";"ineo +659 Багатофункціональний пристрій формату A3 до 65 стор./хв. у кольорі та
монохромі. Контролер друку Emperon™ з підтримкою PCL, PostScript та XPS. Місткість паперу: 2 універс. касети на 500 арк.(A5–SRA3, 52-256 г/м²), дві касети формату А4 (1500 + 1000 арк., 52-256 г/м²) та 150 арк. лоток ручної подачі паперу для друку. Дуплексний автоподавач документів на 150 оригіналів. 4 GB пам’ять, 250 GB HDD. Модулі формування зображення, тонер до 12 000 стор. @5%. Термін служби до 5М стор. (до 5 років). Макс. навант./міс до 180т відб. Середнє навант./міс. до 80т відб.";5 000 000;36 383 333,33;7 276 666,67;43 660 000,00;11800,00
"4827000338";"ineo+ 759";"ineo +759 Багатофункціональний пристрій формату A3  зі швидкістю друку до 75 стор./хв у монохромі та до 65 стор./хв у кольорі.. Контролер друку Emperon™ з підтримкою PCL, PostScript та XPS. Місткість паперу: 2 універс. касети на 500 арк.(A5–SRA3, 52-256 г/м²), дві касети формату А4 (1500 + 1000 арк., 52-256 г/м²) та 150 арк. лоток ручної подачі паперу для друку. Дуплексний автоподавач документів на 150 оригіналів. 4 GB пам’ять, 250 GB HDD. Модулі формування зображення, тонер до 12 000 стор. @5%. Термін служби до 5М стор. (до 5 років). Макс. навант./міс до 180т відб. Середнє навант./міс. до 80т відб.";5 000 000;39 466 666,67;7 893 333,33;47 360 000,00;12800,00
"A6DT121";"ineo+ 3110";"ineo +3110 Багатофункціональний пристрій A4 швидкістю 31 стор./хв. монохром та колір. Макс. місячне навантаження 120 000 стор. Контролер друку Emperon™ з PCL, PostScript та опційно підтримка XPS. Місткість паперу - 250 арк. касета та 100 арк. лоток ручного подавання паперу для друку. Двосторонній автоподавач оригіналів документів та модуль двостороннього друку (дуплекс) в базовій к-ції. 1 GB пам’ять та Gigabit Ethernet стандартно, модуль формування зображення, повнорозмірні тонер-картриджі CMYK (до 5000@5% кожен). Термін служби до 400т стор. (до 5 років). Макс. навант./міс до 120т відб. Середнє навант./міс. до 6,5т відб.";400 000;3 885 000,00;777 000,00;4 662 000,00;1260,00
"A92F121";"ineo+ 3351";"ineo +3351 Багатофункціональний пристрій A4 швидкістю 33 стор./хв. монохром та колір. Контролер друку Emperon™ з підтримкою PCL, PostScript та XPS. Місткість паперу 550 арк. та 100 арк. лоток ручної подачі паперу для друку. Автоматичний двосторонній подавач оригіналів (50 арк.) та дуплекс в базовій комплектації. Лоток ручного подавання паперу. 2 GB пам’ять, 250 GB HDD. Модулі формування зображення, тонер до 12 000 стор. @5%. Термін служби до 400т стор. (до 5 років). Макс. навант./міс до 960т відб. Середнє навант./міс. до 6,5т відб.";400 000;6 552 083,33;1 310 416,67;7 862 500,00;2125,00
"A92E121";"ineo+ 3851";"ineo +3851 Багатофункціональний пристрій A4 швидкістю 38 стор./хв. монохром та колір. Контролер друку Emperon™ з підтримкою PCL, PostScript та XPS. Місткість паперу 550 арк. та 100 арк. лоток ручної подачі паперу для друку. Автоматичний двосторонній подавач оригіналів (50 арк.) та дуплекс в базовій комплектації.  2 GB пам’ять, 250 GB HDD. Модулі формування зображення, тонер до 12 000 стор. @5%. Термін служби до 400т стор. (до 5 років). Макс. навант./міс до 120т відб. Середнє навант./міс. до 6,5т відб.";400 000;8 325 000,00;1 665 000,00;9 990 000,00;2700,00
"A6DR121";"ineo+ 3100P";"ineo+ 3100P Принтер зі швидкістю друку 31 стор./хв. ч-б та колір. Контролер друку Emperon™ з підтримкою PCL, PostScript та з опціональною підтримкою XPS. Місткість паперу - 250 арк. касета та 100 арк. лоток ручного подавання паперу для друку. Модуль двустороннього друку (дуплекс) в базовій к-ції. 1 GB пам’ять та Gigabit Ethernet, модуль формування зображення, повнорозмірні тонер-картриджі CMYK (до 5000@5% кожен). Термін служби до 400т стор. (до 5 років). Макс. навант./міс до 120т відб. Середнє навант./міс. до 6,5т відб.";400 000;3 052 500,00;610 500,00;3 663 000,00;990,00
"A0XY126";"ineo 185 ";"ineo 185 (копір/принтер/сканер). Монохромний БФП формату А3, 18 копій А4/хв. Масштаб 50-200%, RAM 32MB, 600x600 dpi, контролер друку GDI. Сканування тільки монохромне, TWAIN та WIA. Інтерфейс USB. Фотоциліндр, девелопер, стартовий тонер (до 5000стор.@5%)., універс. касета 250 арк., бічний лоток 100 арк., кришка оригіналу. Термін служби до 168т стор. (до 5 років). Макс. навант./міс до 12т стор. Середнє навант./міс. до 2,8т стор.";200 000;1 634 166,67;326 833,33;1 961 000,00;530,00
"A8A5121";"ineo 226";"ineo 226 Монохромний багатофункціональний пристрій формату А3. Копір/принтер/сканер/(факс опц.) Швидкість друку/копіюв. до 22 копій/хв А4, розд. здатн. 600x600 dpi, масштаб 25-400%, копіювання 256 напівтонів, RAM 128 Мб, GDI-друк станд. (PCL друк опц.), кольорове TWAIN-сканування, опц. - автоподавач оригіналів сканування реверсивний двосторонній. Локальний USB 2.0 станд. (Ethernet опціонально - за умов NC+MK або IC+MK). Запас паперу - станд. 350 арк. (макс. до 1350 арк.) Стандартно - боковий лоток ручного подавання (100 арк.), універсальна касета A5-A3 (250 арк.), фотоциліндр, девелопер. Термін служби до 300т стор. (до 5 років). Макс. навант./міс до 15т відб. Середнє навант./міс. до 5т відб.";300 000;2 127 500,00;425 500,00;2 553 000,00;690,00
"A8A3121";"ineo 266";"ineo 266 Монохромний багатофункціональний пристрій формату А3. Копір/принтер/сканер/(факс опц.) Швидкість друку/копіюв. до 26 стор./хв А4, контроллер PCL станд., розд. здатн. друку 1200x600 dpi, масштаб 25-400%, RAM 512 Мб, кольорове TWAIN-сканування. 10/100 Ethernet, USB 2.0. Запас паперу мін./макс 350/1350 арк. Стандартно: дуплекс друку (64 – 90 g/m²), боковий лоток ручного подавання (100 арк.), універсальна касета A5-A3 (250 арк.), фотоциліндр, девелопер. Термін служби до 500т стор. (до 5 років). Макс. навант./міс до 16т відб. Середнє навант./міс. до 8т відб.";500 000;3 391 666,67;678 333,33;4 070 000,00;1100,00
"A8A1121";"ineo 306";"ineo 306 Монохромний багатофункціональний пристрій формату А3. Копір/принтер/сканер/(факс опц.) Швидкість друку/копіюв. до 30 стор./хв А4, контроллер PCL станд., розд. здатн. друку 1200x600 dpi, масштаб 25-400%, RAM 512 Мб, кольорове TWAIN-сканування. 10/100 Ethernet, USB 2.0. Запас паперу мін./макс 350/1350 арк. Стандартно: дуплекс друку (64 – 90 g/m²), боковий лоток ручного подавання (100 арк.), універсальна касета A5-A3 (250 арк.), фотоциліндр, девелопер. Термін служби до 500т стор. (до 5 років). Макс. навант./міс до 16т відб. Середнє навант./міс. до 8т відб.";500 000;4 008 333,33;801 666,67;4 810 000,00;1300,00
"A7AK127";"ineo 227";"ineo 227. Цифрова монохромна система формату А3, швидкість до 22 стор./хв (А4). Стандартно: Контролер друку Emperon™ з PCL 6, (PCL 5 + XL 3.0). PostScript 3, PDF 1.7, XPS и OOXML. Web-браузер. Вхідна місткість паперу: 2х500 арк., 100 арк. лоток ручного подавання. Формат від A6 до A3. Щільність паперу 60-220 г/м2. 2GB пам’ять, модуль автоматичного двостороннього друку, 250 GB HDD, Gigabit Ethernet, фотоциліндр та девелопер, місткість для відпрацьованого тонеру. Термін служби до 600т стор. (до 5 років). Макс. навант./міс до 19т відб. Середнє навант./міс. до 10т відб.";600 000;6 166 666,67;1 233 333,33;7 400 000,00;2000,00
"A7AH127";"ineo 287";"ineo 287. Цифрова монохромна система формату А3, швидкість до 28 стор./хв (А4). Стандартно: Контролер друку Emperon™ з PCL 6, (PCL 5 + XL 3.0). PostScript 3, PDF 1.7, XPS и OOXML. Web-браузер. Вхідна місткість паперу: 2х500 арк., 100 арк. лоток ручного подавання. Формат від A6 до A3. Щільність паперу 60-220 г/м2. 2GB пам’ять, модуль автоматичного двостороннього друку, 250 GB HDD, Gigabit Ethernet, фотоциліндр та девелопер, місткість для відпрацьованого тонеру. Термін служби до 800т стор. (до 5 років). Макс. навант./міс до 28т відб. Середнє навант./міс. до 13т відб.";800 000;7 862 500,00;1 572 500,00;9 435 000,00;2550,00
"A789127";"ineo 367";"ineo 367. Цифрова монохромна система формату А3, швидкість до 36 стор./хв (А4). Стандартно: Контролер друку Emperon™ з PCL 6, (PCL 5 + XL 3.0). PostScript 3, PDF 1.7, XPS и OOXML. Web-браузер. Вхідна місткість паперу: 2х500 арк., 100 арк. лоток ручного подавання. Формат від A6 до A3. Щільність паперу 60-220 г/м2. 2GB пам’ять, модуль автоматичного двостороннього друку, 250 GB HDD, Gigabit Ethernet, фотоциліндр та девелопер, місткість для відпрацьованого тонеру. Термін служби до 1,2М стор. (до 5 років). Макс. навант./міс до 48т відб. Середнє навант./міс. до 20т відб.";1 200 000;10 406 250,00;2 081 250,00;12 487 500,00;3375,00
"AA6W121";"ineo 308e";"ineo 308e. Цифрова монохромна система. Формат від А6 до A3/SRA3/banner (1200х297мм). Швидкість копіювання/друку до 30 стор./хв.Контролер друку Emperon™ з PCL 6с, PostScript 3, PDF 1.7, XPS. Станд. місткість паперу 500 + 500 арк. та 150 арк. ручної подачі паперу. Щільність носіїв для друку 52-300 г/м². Мережеве сканування та друк, Gigabit Ethernet.  Пам'ять 2GB, HDD 250GB. Термін служби до 600т стор. (до 5 років). Макс. навант./міс до 150т відб. Середнє навант./міс. до 10т відб. ";600 000;8 016 666,67;1 603 333,33;9 620 000,00;2600,00
"AA6V121";"ineo 368e";"ineo 368e. Цифрова монохромна система. Формат від А6 до A3/SRA3/banner (1200х297мм). Швидкість копіювання/друку до 36 стор./хв. Контролер друку Emperon™ з PCL 6с, PostScript 3, PDF 1.7, XPS. Станд. місткість паперу 1150 арк. (макс. з опц. 6650 арк.) Щільність носіїв для друку 52-300 г/м². Мережеве сканування та друк, Gigabit Ethernet. Масштабування 25-400%. В комплекті: фотоциліндр та девелопер, 2 універс. касети по 500 арк.(52-256 г/м²), дуплексний друк (52-256 г/м²), ручний боковий лоток 150 арк., пам'ять 2GB, HDD 250GB. Термін служби до 800т стор. (до 5 років). Макс. навант./міс до 175т відб. Середнє навант./міс. до 13т відб.";800 000;10 637 500,00;2 127 500,00;12 765 000,00;3450,00
"4827000334";"ineo 458e";"ineo 458e. Цифрова монохромна система. Формат від А6 до A3/SRA3/banner (1200х297мм). Швидкість копіювання та друку до 45 стор./хв. DUAL SCAN автоподавач оригіналів сканування місткістю до 100 арк., швидкістю до 160 стор./хв. Контроллер Emperon PCL6c/ PostScript 3, PDF 1.7, XPS. Станд. місткість паперу 1150 арк. (макс. з опц. 6650 арк.) Щільність носіїв для друку 52-300 г/м². Мережеве сканування та друк, Gigabit Ethernet. В комплекті: фотоциліндр та девелопер, 2 універс. касети на 500 арк.(52-256 г/м²), дуплексний друк (52-256 г/м²), ручний боковий лоток 150 арк., пам'ять 4GB станд., HDD 250GB. Термін служби до 1,8М стор. (до 5 років). Макс. навант./міс до 200т відб. Середнє навант./міс. до 30т відб.";1 800 000;15 416 666,67;3 083 333,33;18 500 000,00;5000,00
"4827000335";"ineo 558e";"ineo 558e. Цифрова монохромна система. Формат від А6 до A3/SRA3/banner (1200х297мм). Швидкість копіювання та друку до 55 стор./хв. DUAL SCAN автоподавач оригіналів сканування місткістю до 100 арк., швидкістю до 160 стор./хв. Контроллер Emperon PCL6c/ PostScript 3, PDF 1.7, XPS. Станд. місткість паперу 1150 арк. (макс. з опц. 6650 арк.) Щільність носіїв для друку 52-300 г/м². Мережеве сканування та друк, Gigabit Ethernet. В комплекті: фотоциліндр та девелопер, 2 універс. касети на 500 арк.(52-256 г/м²), дуплексний друк (52-256 г/м²), ручний боковий лоток 150 арк., пам'ять 4GB станд., HDD 250GB. Термін служби до 2М стор. (до 5 років). Макс. навант./міс до 250т відб. Середнє навант./міс. до 33т відб.";2 000 000;18 808 333,33;3 761 666,67;22 570 000,00;6100,00
"4827000336";"ineo 658e";"ineo 658e. Цифрова монохромна система швидкістю 65 стор./хв. ч/б (A4). Автоподавач оригіналів DualScan. Дуплекс. Контролер друку Emperon™ з підтримкою PCL 6, PCL 5, PostScript 3, PDF 1.7, XPS, OOXML. 2 касети паперу 500 + 500 арк. та 150 арк. лоток ручної подачі паперу. Формати від A6 до SRA3, 1.2 м банер, щільністю 52 – 300 г/м2. 4 GB пам’ять, 250 GB HDD та Gigabit Ethernet стандарт. Термін служби до 5М стор. (до 5 років). Макс. навант./міс до 300т відб. Середнє навант./міс. до 33т відб.";5 000 000;23 125 000,00;4 625 000,00;27 750 000,00;7500,00
"A795121";"ineo 758";"ineo 758. Цифрова монохромна система. Формат до A3/SRA3/банер. Швидкість копіюв./друку до 75 стор./хв. Контролер друку Emperon™ з PCL 5/6, PostScript 3, PDF 1.7, XPS та OOXML. Запас паперу станд. 3650арк. (макс. з опціями 6650 арк.). Папір від A6 до A3/SRA3/банер 1200х297мм, щільність 52–300 г/м2. 4GB RAM, HDD 250 Гб, Gigabit Ethernet. Стандартно: швидкісний Автоподавач оригіналів скан. DUALSCAN ADF (до 240 стор/хв). Двосторонній друк (дуплекс) [A5–SRA3; 52–256 г/м2]. Дві універсальні касети для паперу 500+500 арк. [A5–SRA3; 52–256 г/м2]. Дві касети 1500+1000 арк (A4; 52–256 г/м2). Боковий лоток ручного подавання на 150 арк. Фотоциліндр, девелопер. Термін служби до 5М стор. (до 5 років). Макс. навант./міс до 215т відб. Середнє навант./міс. до 80т відб.";5 000 000;28 983 333,33;5 796 666,67;34 780 000,00;9400,00
"A796121";"ineo 958";"ineo PRO 958: Цифрова продуктивна чорно-біла копіювальна система друку формату SRА3 з роздільною здатністю друку 1200 dpi (еквівалент 1800 x 600 dpi), швидкістю друку/копіювання 95 чорно-білих сторінок А4 формату за хвилину (5 700  за год.) та кольоровим сканером з роздільною здатністю 600 dpi. Макс. місячне навантаження 300 000 копій А4 формату. До стандартної комплектації входить: дуплекс (60 - 300 г/м²), 4 універсальніх лотка на 3 500 аркушів і лоток ручної подачі на 150, контролер друку Emperon (пам'ять на 4 GB RAM та жорсткий диск 250 GB), DF-703 автоподавач оригіналів сканування двостор. місткістю 300 арк., 120/240 ориг./хв. (одностор./двостор.), фотоциліндр та стартер.";7 500 000;37 000 000,00;7 400 000,00;44 400 000,00;12000,00
